machine_id,timestamp,temperature,acoustic_vibration
Palletizer_2,2026-06-01 02:45:00,21.51,25.04
CNC_Mill_1,2026-06-01 03:00:00,21.59,24.55
CNC_Lathe_1,2026-06-01 03:00:00,21.47,24.67
Robotic_Welder_1,2026-06-01 03:00:00,26.22,59.82
Pick_Place_1,2026-06-01 03:00:00,21.56,25.0
Assembly_Conveyor_1,2026-06-01 03:00:00,21.78,25.79
Injection_Molder_2,2026-06-01 03:00:00,142.78,85.82
Thermoformer_2,2026-06-01 03:00:00,21.7,24.57
Packaging_Robot_2,2026-06-01 03:00:00,22.14,24.97
Labeling_Machine_2,2026-06-01 03:00:00,21.71,25.38
Palletizer_2,2026-06-01 03:00:00,22.05,25.38
CNC_Mill_1,2026-06-01 03:15:00,21.67,25.29
CNC_Lathe_1,2026-06-01 03:15:00,21.19,25.02
Robotic_Welder_1,2026-06-01 03:15:00,26.64,54.68
Pick_Place_1,2026-06-01 03:15:00,21.67,25.02
Assembly_Conveyor_1,2026-06-01 03:15:00,22.5,24.71
Injection_Molder_2,2026-06-01 03:15:00,141.59,84.88
Thermoformer_2,2026-06-01 03:15:00,22.29,24.9
Packaging_Robot_2,2026-06-01 03:15:00,22.04,24.92
Labeling_Machine_2,2026-06-01 03:15:00,22.17,24.79
Palletizer_2,2026-06-01 03:15:00,22.2,24.79
CNC_Mill_1,2026-06-01 03:30:00,22.44,24.84
CNC_Lathe_1,2026-06-01 03:30:00,20.98,24.5
Robotic_Welder_1,2026-06-01 03:30:00,26.02,61.35
Pick_Place_1,2026-06-01 03:30:00,22.41,23.89
Assembly_Conveyor_1,2026-06-01 03:30:00,21.26,25.57
Injection_Molder_2,2026-06-01 03:30:00,141.9,86.54
Thermoformer_2,2026-06-01 03:30:00,21.77,24.58
Packaging_Robot_2,2026-06-01 03:30:00,22.04,24.76
Labeling_Machine_2,2026-06-01 03:30:00,22.52,24.74
Palletizer_2,2026-06-01 03:30:00,21.78,25.19
CNC_Mill_1,2026-06-01 03:45:00,22.43,25.68
CNC_Lathe_1,2026-06-01 03:45:00,21.61,24.38
Robotic_Welder_1,2026-06-01 03:45:00,26.65,57.89
Pick_Place_1,2026-06-01 03:45:00,23.22,25.06
Assembly_Conveyor_1,2026-06-01 03:45:00,22.24,25.11
Injection_Molder_2,2026-06-01 03:45:00,145.65,84.69
Thermoformer_2,2026-06-01 03:45:00,21.51,24.94
Packaging_Robot_2,2026-06-01 03:45:00,21.15,25.76
Labeling_Machine_2,2026-06-01 03:45:00,21.49,24.17
Palletizer_2,2026-06-01 03:45:00,21.36,24.35
CNC_Mill_1,2026-06-01 04:00:00,21.87,24.25
CNC_Lathe_1,2026-06-01 04:00:00,20.65,24.97
Robotic_Welder_1,2026-06-01 04:00:00,27.85,60.25
Pick_Place_1,2026-06-01 04:00:00,23.29,25.03
Assembly_Conveyor_1,2026-06-01 04:00:00,22.1,24.93
Injection_Molder_2,2026-06-01 04:00:00,144.17,76.68
Thermoformer_2,2026-06-01 04:00:00,22.14,24.87
Packaging_Robot_2,2026-06-01 04:00:00,22.42,24.34
Labeling_Machine_2,2026-06-01 04:00:00,22.24,24.61
Palletizer_2,2026-06-01 04:00:00,21.65,24.64
CNC_Mill_1,2026-06-01 04:15:00,22.25,24.47
CNC_Lathe_1,2026-06-01 04:15:00,22.41,24.53
Robotic_Welder_1,2026-06-01 04:15:00,27.65,55.99
Pick_Place_1,2026-06-01 04:15:00,21.17,25.88
Assembly_Conveyor_1,2026-06-01 04:15:00,22.66,24.12
Injection_Molder_2,2026-06-01 04:15:00,143.74,77.66
Thermoformer_2,2026-06-01 04:15:00,22.49,24.98
Packaging_Robot_2,2026-06-01 04:15:00,23.08,25.34
Labeling_Machine_2,2026-06-01 04:15:00,21.36,25.05
Palletizer_2,2026-06-01 04:15:00,23.0,25.36
CNC_Mill_1,2026-06-01 04:30:00,22.81,25.79
CNC_Lathe_1,2026-06-01 04:30:00,21.92,25.4
Robotic_Welder_1,2026-06-01 04:30:00,25.65,58.4
Pick_Place_1,2026-06-01 04:30:00,21.24,24.6
Assembly_Conveyor_1,2026-06-01 04:30:00,22.29,24.12
Injection_Molder_2,2026-06-01 04:30:00,140.29,82.36
Thermoformer_2,2026-06-01 04:30:00,22.0,24.67
Packaging_Robot_2,2026-06-01 04:30:00,21.82,25.12
Labeling_Machine_2,2026-06-01 04:30:00,22.99,24.98
Palletizer_2,2026-06-01 04:30:00,22.25,25.27
CNC_Mill_1,2026-06-01 04:45:00,21.12,25.57
CNC_Lathe_1,2026-06-01 04:45:00,22.53,25.06
Robotic_Welder_1,2026-06-01 04:45:00,27.29,60.12
Pick_Place_1,2026-06-01 04:45:00,21.24,24.97
Assembly_Conveyor_1,2026-06-01 04:45:00,22.22,24.89
Injection_Molder_2,2026-06-01 04:45:00,138.6,83.77
Thermoformer_2,2026-06-01 04:45:00,21.48,25.64
Packaging_Robot_2,2026-06-01 04:45:00,22.21,24.04
Labeling_Machine_2,2026-06-01 04:45:00,22.43,25.14
Palletizer_2,2026-06-01 04:45:00,22.36,25.02
CNC_Mill_1,2026-06-01 05:00:00,21.75,23.76
CNC_Lathe_1,2026-06-01 05:00:00,21.16,24.12
Robotic_Welder_1,2026-06-01 05:00:00,25.7,56.39
Pick_Place_1,2026-06-01 05:00:00,21.03,24.4
Assembly_Conveyor_1,2026-06-01 05:00:00,21.92,24.59
Injection_Molder_2,2026-06-01 05:00:00,67.75,40.76
Thermoformer_2,2026-06-01 05:00:00,22.14,26.23
Packaging_Robot_2,2026-06-01 05:00:00,21.69,24.72
Labeling_Machine_2,2026-06-01 05:00:00,22.71,24.71
Palletizer_2,2026-06-01 05:00:00,21.72,25.32
CNC_Mill_1,2026-06-01 05:15:00,22.77,25.9
CNC_Lathe_1,2026-06-01 05:15:00,22.14,25.17
Robotic_Welder_1,2026-06-01 05:15:00,25.82,56.4
Pick_Place_1,2026-06-01 05:15:00,21.98,25.9
Assembly_Conveyor_1,2026-06-01 05:15:00,21.99,25.59
Injection_Molder_2,2026-06-01 05:15:00,138.53,84.09
Thermoformer_2,2026-06-01 05:15:00,22.29,24.82
Packaging_Robot_2,2026-06-01 05:15:00,22.41,25.25
Labeling_Machine_2,2026-06-01 05:15:00,22.69,25.32
Palletizer_2,2026-06-01 05:15:00,22.6,24.59
CNC_Mill_1,2026-06-01 05:30:00,22.01,25.64
CNC_Lathe_1,2026-06-01 05:30:00,21.32,25.37
Robotic_Welder_1,2026-06-01 05:30:00,25.69,58.44
Pick_Place_1,2026-06-01 05:30:00,21.95,25.14
Assembly_Conveyor_1,2026-06-01 05:30:00,21.78,25.1
Injection_Molder_2,2026-06-01 05:30:00,140.4,80.6
Thermoformer_2,2026-06-01 05:30:00,21.72,25.19
Packaging_Robot_2,2026-06-01 05:30:00,21.72,25.94
Labeling_Machine_2,2026-06-01 05:30:00,22.22,24.75
Palletizer_2,2026-06-01 05:30:00,22.12,24.72
CNC_Mill_1,2026-06-01 05:45:00,22.33,24.95
CNC_Lathe_1,2026-06-01 05:45:00,21.24,24.65
Robotic_Welder_1,2026-06-01 05:45:00,25.76,58.7
Pick_Place_1,2026-06-01 05:45:00,21.96,25.56
Assembly_Conveyor_1,2026-06-01 05:45:00,22.28,25.22
Injection_Molder_2,2026-06-01 05:45:00,140.59,83.42
Thermoformer_2,2026-06-01 05:45:00,21.66,25.9
Packaging_Robot_2,2026-06-01 05:45:00,22.06,24.66
Labeling_Machine_2,2026-06-01 05:45:00,21.78,24.06
Palletizer_2,2026-06-01 05:45:00,21.21,25.38
CNC_Mill_1,2026-06-01 06:00:00,31.36,39.47
CNC_Lathe_1,2026-06-01 06:00:00,25.18,43.01
Robotic_Welder_1,2026-06-01 06:00:00,42.58,39.46
Pick_Place_1,2026-06-01 06:00:00,39.16,53.6
Assembly_Conveyor_1,2026-06-01 06:00:00,42.6,63.62
Injection_Molder_2,2026-06-01 06:00:00,68.93,42.63
Thermoformer_2,2026-06-01 06:00:00,59.37,39.26
Packaging_Robot_2,2026-06-01 06:00:00,43.55,61.36
Labeling_Machine_2,2026-06-01 06:00:00,17.31,38.13
Palletizer_2,2026-06-01 06:00:00,24.24,41.23
CNC_Mill_1,2026-06-01 06:15:00,66.2,79.29
CNC_Lathe_1,2026-06-01 06:15:00,51.32,69.07
Robotic_Welder_1,2026-06-01 06:15:00,90.05,64.08
Pick_Place_1,2026-06-01 06:15:00,39.48,51.77
Assembly_Conveyor_1,2026-06-01 06:15:00,49.43,62.76
Injection_Molder_2,2026-06-01 06:15:00,141.48,82.52
Thermoformer_2,2026-06-01 06:15:00,109.92,77.35
Packaging_Robot_2,2026-06-01 06:15:00,47.32,56.3
Labeling_Machine_2,2026-06-01 06:15:00,33.91,42.76
Palletizer_2,2026-06-01 06:15:00,46.6,58.69
CNC_Mill_1,2026-06-01 06:30:00,61.15,79.99
CNC_Lathe_1,2026-06-01 06:30:00,53.72,75.0
Robotic_Welder_1,2026-06-01 06:30:00,83.95,64.36
Pick_Place_1,2026-06-01 06:30:00,41.29,52.06
Assembly_Conveyor_1,2026-06-01 06:30:00,44.41,59.86
Injection_Molder_2,2026-06-01 06:30:00,140.16,83.47
Thermoformer_2,2026-06-01 06:30:00,104.01,76.83
Packaging_Robot_2,2026-06-01 06:30:00,36.31,66.18
Labeling_Machine_2,2026-06-01 06:30:00,31.88,46.23
Palletizer_2,2026-06-01 06:30:00,53.74,57.62
CNC_Mill_1,2026-06-01 06:45:00,65.45,78.73
CNC_Lathe_1,2026-06-01 06:45:00,55.6,74.1
Robotic_Welder_1,2026-06-01 06:45:00,86.92,62.71
Pick_Place_1,2026-06-01 06:45:00,40.91,48.49
Assembly_Conveyor_1,2026-06-01 06:45:00,45.96,60.84
Injection_Molder_2,2026-06-01 06:45:00,139.27,83.93
Thermoformer_2,2026-06-01 06:45:00,111.79,76.4
Packaging_Robot_2,2026-06-01 06:45:00,44.55,62.25
Labeling_Machine_2,2026-06-01 06:45:00,31.71,42.12
Palletizer_2,2026-06-01 06:45:00,45.03,53.69
CNC_Mill_1,2026-06-01 07:00:00,62.9,80.18
CNC_Lathe_1,2026-06-01 07:00:00,32.08,37.22
Robotic_Welder_1,2026-06-01 07:00:00,43.95,41.36
Pick_Place_1,2026-06-01 07:00:00,20.56,40.21
Assembly_Conveyor_1,2026-06-01 07:00:00,46.66,59.93
Injection_Molder_2,2026-06-01 07:00:00,72.78,41.84
Thermoformer_2,2026-06-01 07:00:00,51.83,39.73
Packaging_Robot_2,2026-06-01 07:00:00,19.83,38.8
Labeling_Machine_2,2026-06-01 07:00:00,17.35,38.84
Palletizer_2,2026-06-01 07:00:00,25.09,40.1
CNC_Mill_1,2026-06-01 07:15:00,60.79,81.5
CNC_Lathe_1,2026-06-01 07:15:00,52.84,73.79
Robotic_Welder_1,2026-06-01 07:15:00,82.98,65.56
Pick_Place_1,2026-06-01 07:15:00,36.44,50.62
Assembly_Conveyor_1,2026-06-01 07:15:00,44.44,59.74
Injection_Molder_2,2026-06-01 07:15:00,142.89,86.42
Thermoformer_2,2026-06-01 07:15:00,109.74,80.16
Packaging_Robot_2,2026-06-01 07:15:00,50.03,60.89
Labeling_Machine_2,2026-06-01 07:15:00,33.86,44.59
Palletizer_2,2026-06-01 07:15:00,46.05,55.55
CNC_Mill_1,2026-06-01 07:30:00,60.33,78.66
CNC_Lathe_1,2026-06-01 07:30:00,56.12,74.46
Robotic_Welder_1,2026-06-01 07:30:00,86.26,63.59
Pick_Place_1,2026-06-01 07:30:00,40.23,51.08
Assembly_Conveyor_1,2026-06-01 07:30:00,40.76,59.78
Injection_Molder_2,2026-06-01 07:30:00,143.71,84.18
Thermoformer_2,2026-06-01 07:30:00,109.05,77.43
Packaging_Robot_2,2026-06-01 07:30:00,46.18,62.38
Labeling_Machine_2,2026-06-01 07:30:00,34.54,46.42
Palletizer_2,2026-06-01 07:30:00,44.01,54.33
CNC_Mill_1,2026-06-01 07:45:00,66.17,82.99
CNC_Lathe_1,2026-06-01 07:45:00,55.25,71.8
Robotic_Welder_1,2026-06-01 07:45:00,85.8,65.64
Pick_Place_1,2026-06-01 07:45:00,39.48,48.49
Assembly_Conveyor_1,2026-06-01 07:45:00,45.08,59.98
Injection_Molder_2,2026-06-01 07:45:00,139.92,83.64
Thermoformer_2,2026-06-01 07:45:00,110.03,72.38
Packaging_Robot_2,2026-06-01 07:45:00,43.17,61.63
Labeling_Machine_2,2026-06-01 07:45:00,34.79,45.97
Palletizer_2,2026-06-01 07:45:00,45.18,57.71
CNC_Mill_1,2026-06-01 08:00:00,33.33,38.62
CNC_Lathe_1,2026-06-01 08:00:00,26.83,38.77
Robotic_Welder_1,2026-06-01 08:00:00,41.04,36.93
Pick_Place_1,2026-06-01 08:00:00,21.87,37.27
Assembly_Conveyor_1,2026-06-01 08:00:00,21.87,41.76
Injection_Molder_2,2026-06-01 08:00:00,132.23,80.91
Thermoformer_2,2026-06-01 08:00:00,109.91,71.08
Packaging_Robot_2,2026-06-01 08:00:00,25.92,37.26
Labeling_Machine_2,2026-06-01 08:00:00,17.91,42.28
Palletizer_2,2026-06-01 08:00:00,23.02,44.31
CNC_Mill_1,2026-06-01 08:15:00,68.91,81.12
CNC_Lathe_1,2026-06-01 08:15:00,56.38,70.64
Robotic_Welder_1,2026-06-01 08:15:00,83.9,65.37
Pick_Place_1,2026-06-01 08:15:00,43.6,48.69
Assembly_Conveyor_1,2026-06-01 08:15:00,48.56,61.44
Injection_Molder_2,2026-06-01 08:15:00,135.73,85.0
Thermoformer_2,2026-06-01 08:15:00,113.98,76.11
Packaging_Robot_2,2026-06-01 08:15:00,43.07,63.86
Labeling_Machine_2,2026-06-01 08:15:00,39.59,46.02
Palletizer_2,2026-06-01 08:15:00,46.91,56.32
CNC_Mill_1,2026-06-01 08:30:00,61.69,77.56
CNC_Lathe_1,2026-06-01 08:30:00,57.45,73.72
Robotic_Welder_1,2026-06-01 08:30:00,85.85,64.5
Pick_Place_1,2026-06-01 08:30:00,42.2,51.33
Assembly_Conveyor_1,2026-06-01 08:30:00,41.11,60.8
Injection_Molder_2,2026-06-01 08:30:00,141.76,84.48
Thermoformer_2,2026-06-01 08:30:00,115.11,75.48
Packaging_Robot_2,2026-06-01 08:30:00,39.72,63.51
Labeling_Machine_2,2026-06-01 08:30:00,37.02,44.72
Palletizer_2,2026-06-01 08:30:00,45.45,56.84
CNC_Mill_1,2026-06-01 08:45:00,61.41,78.89
CNC_Lathe_1,2026-06-01 08:45:00,54.6,72.03
Robotic_Welder_1,2026-06-01 08:45:00,84.64,65.84
Pick_Place_1,2026-06-01 08:45:00,42.17,49.25
Assembly_Conveyor_1,2026-06-01 08:45:00,45.67,61.87
Injection_Molder_2,2026-06-01 08:45:00,135.42,84.53
Thermoformer_2,2026-06-01 08:45:00,108.31,75.37
Packaging_Robot_2,2026-06-01 08:45:00,51.18,64.42
Labeling_Machine_2,2026-06-01 08:45:00,37.34,43.9
Palletizer_2,2026-06-01 08:45:00,47.49,57.09
CNC_Mill_1,2026-06-01 09:00:00,34.1,39.14
CNC_Lathe_1,2026-06-01 09:00:00,27.26,43.03
Robotic_Welder_1,2026-06-01 09:00:00,43.65,43.72
Pick_Place_1,2026-06-01 09:00:00,18.08,39.26
Assembly_Conveyor_1,2026-06-01 09:00:00,23.2,37.18
Injection_Molder_2,2026-06-01 09:00:00,134.69,82.65
Thermoformer_2,2026-06-01 09:00:00,55.8,39.62
Packaging_Robot_2,2026-06-01 09:00:00,26.04,43.32
Labeling_Machine_2,2026-06-01 09:00:00,15.3,40.79
Palletizer_2,2026-06-01 09:00:00,23.59,38.24
CNC_Mill_1,2026-06-01 09:15:00,67.74,76.39
CNC_Lathe_1,2026-06-01 09:15:00,54.94,70.51
Robotic_Welder_1,2026-06-01 09:15:00,87.21,64.44
Pick_Place_1,2026-06-01 09:15:00,35.31,48.94
Assembly_Conveyor_1,2026-06-01 09:15:00,45.88,57.29
Injection_Molder_2,2026-06-01 09:15:00,135.15,84.33
Thermoformer_2,2026-06-01 09:15:00,110.6,77.3
Packaging_Robot_2,2026-06-01 09:15:00,46.29,63.39
Labeling_Machine_2,2026-06-01 09:15:00,32.52,45.17
Palletizer_2,2026-06-01 09:15:00,49.31,59.81
CNC_Mill_1,2026-06-01 09:30:00,71.17,78.04
CNC_Lathe_1,2026-06-01 09:30:00,59.12,70.71
Robotic_Welder_1,2026-06-01 09:30:00,82.14,65.25
Pick_Place_1,2026-06-01 09:30:00,39.24,49.42
Assembly_Conveyor_1,2026-06-01 09:30:00,44.77,59.64
Injection_Molder_2,2026-06-01 09:30:00,137.74,81.15
Thermoformer_2,2026-06-01 09:30:00,105.69,76.84
Packaging_Robot_2,2026-06-01 09:30:00,48.24,61.11
Labeling_Machine_2,2026-06-01 09:30:00,37.56,45.97
Palletizer_2,2026-06-01 09:30:00,51.09,57.33
CNC_Mill_1,2026-06-01 09:45:00,71.19,75.86
CNC_Lathe_1,2026-06-01 09:45:00,54.76,72.9
Robotic_Welder_1,2026-06-01 09:45:00,84.44,66.97
Pick_Place_1,2026-06-01 09:45:00,41.74,50.65
Assembly_Conveyor_1,2026-06-01 09:45:00,46.02,59.41
Injection_Molder_2,2026-06-01 09:45:00,136.98,84.28
Thermoformer_2,2026-06-01 09:45:00,103.63,73.78
Packaging_Robot_2,2026-06-01 09:45:00,42.0,60.99
Labeling_Machine_2,2026-06-01 09:45:00,34.28,44.27
Palletizer_2,2026-06-01 09:45:00,52.85,57.36
CNC_Mill_1,2026-06-01 10:00:00,34.95,40.08
CNC_Lathe_1,2026-06-01 10:00:00,58.56,71.07
Robotic_Welder_1,2026-06-01 10:00:00,87.33,67.75
Pick_Place_1,2026-06-01 10:00:00,40.54,50.7
Assembly_Conveyor_1,2026-06-01 10:00:00,46.95,58.07
Injection_Molder_2,2026-06-01 10:00:00,71.69,38.93
Thermoformer_2,2026-06-01 10:00:00,55.84,39.13
Packaging_Robot_2,2026-06-01 10:00:00,23.73,38.13
Labeling_Machine_2,2026-06-01 10:00:00,16.73,40.68
Palletizer_2,2026-06-01 10:00:00,23.3,39.96
CNC_Mill_1,2026-06-01 10:15:00,61.84,75.86
CNC_Lathe_1,2026-06-01 10:15:00,54.69,71.66
Robotic_Welder_1,2026-06-01 10:15:00,82.22,65.48
Pick_Place_1,2026-06-01 10:15:00,40.57,52.0
Assembly_Conveyor_1,2026-06-01 10:15:00,43.04,56.34
Injection_Molder_2,2026-06-01 10:15:00,139.59,83.91
Thermoformer_2,2026-06-01 10:15:00,114.92,76.48
Packaging_Robot_2,2026-06-01 10:15:00,44.26,60.31
Labeling_Machine_2,2026-06-01 10:15:00,35.37,46.1
Palletizer_2,2026-06-01 10:15:00,46.13,58.39
CNC_Mill_1,2026-06-01 10:30:00,64.89,77.14
CNC_Lathe_1,2026-06-01 10:30:00,54.75,68.99
Robotic_Welder_1,2026-06-01 10:30:00,80.63,64.38
Pick_Place_1,2026-06-01 10:30:00,44.02,46.25
Assembly_Conveyor_1,2026-06-01 10:30:00,47.01,60.43
Injection_Molder_2,2026-06-01 10:30:00,137.61,84.15
Thermoformer_2,2026-06-01 10:30:00,109.82,73.58
Packaging_Robot_2,2026-06-01 10:30:00,40.25,62.53
Labeling_Machine_2,2026-06-01 10:30:00,37.69,44.03
Palletizer_2,2026-06-01 10:30:00,50.69,57.46
CNC_Mill_1,2026-06-01 10:45:00,64.37,76.03
CNC_Lathe_1,2026-06-01 10:45:00,54.33,70.7
Robotic_Welder_1,2026-06-01 10:45:00,81.73,67.82
Pick_Place_1,2026-06-01 10:45:00,42.12,50.47
Assembly_Conveyor_1,2026-06-01 10:45:00,43.16,60.72
Injection_Molder_2,2026-06-01 10:45:00,139.9,81.58
Thermoformer_2,2026-06-01 10:45:00,108.35,75.19
Packaging_Robot_2,2026-06-01 10:45:00,48.8,60.27
Labeling_Machine_2,2026-06-01 10:45:00,33.06,48.55
Palletizer_2,2026-06-01 10:45:00,51.0,56.66
CNC_Mill_1,2026-06-01 11:00:00,31.11,36.33
CNC_Lathe_1,2026-06-01 11:00:00,29.75,37.82
Robotic_Welder_1,2026-06-01 11:00:00,41.64,40.1
Pick_Place_1,2026-06-01 11:00:00,19.58,36.63
Assembly_Conveyor_1,2026-06-01 11:00:00,25.04,43.78
