machine_id,timestamp,kwh,kw_demand,power_factor
Thermoformer_2,2026-06-01 02:45:00,0.0293,0.12,0.269
Packaging_Robot_2,2026-06-01 02:45:00,0.0223,0.09,0.239
Labeling_Machine_2,2026-06-01 02:45:00,0.0219,0.09,0.19
Palletizer_2,2026-06-01 02:45:00,0.0251,0.1,0.348
Solar_PV_System,2026-06-01 02:45:00,0.0,0.0,0.99
CNC_Mill_1,2026-06-01 03:00:00,0.0326,0.13,0.177
CNC_Lathe_1,2026-06-01 03:00:00,0.0241,0.1,0.298
Robotic_Welder_1,2026-06-01 03:00:00,1.6533,6.61,0.532
Pick_Place_1,2026-06-01 03:00:00,0.0303,0.12,0.333
Assembly_Conveyor_1,2026-06-01 03:00:00,0.0369,0.15,0.351
Injection_Molder_2,2026-06-01 03:00:00,17.1082,68.43,0.872
Thermoformer_2,2026-06-01 03:00:00,0.0217,0.09,0.276
Packaging_Robot_2,2026-06-01 03:00:00,0.0252,0.1,0.258
Labeling_Machine_2,2026-06-01 03:00:00,0.0238,0.1,0.255
Palletizer_2,2026-06-01 03:00:00,0.0275,0.11,0.251
Solar_PV_System,2026-06-01 03:00:00,0.0,0.0,0.99
CNC_Mill_1,2026-06-01 03:15:00,0.0167,0.07,0.327
CNC_Lathe_1,2026-06-01 03:15:00,0.0212,0.08,0.21
Robotic_Welder_1,2026-06-01 03:15:00,1.7825,7.13,0.505
Pick_Place_1,2026-06-01 03:15:00,0.0247,0.1,0.239
Assembly_Conveyor_1,2026-06-01 03:15:00,0.0207,0.08,0.281
Injection_Molder_2,2026-06-01 03:15:00,20.3169,81.27,0.877
Thermoformer_2,2026-06-01 03:15:00,0.0126,0.05,0.26
Packaging_Robot_2,2026-06-01 03:15:00,0.0269,0.11,0.27
Labeling_Machine_2,2026-06-01 03:15:00,0.0308,0.12,0.313
Palletizer_2,2026-06-01 03:15:00,0.0226,0.09,0.278
Solar_PV_System,2026-06-01 03:15:00,0.0,0.0,0.99
CNC_Mill_1,2026-06-01 03:30:00,0.0264,0.11,0.404
CNC_Lathe_1,2026-06-01 03:30:00,0.031,0.12,0.28
Robotic_Welder_1,2026-06-01 03:30:00,1.5162,6.06,0.532
Pick_Place_1,2026-06-01 03:30:00,0.0266,0.11,0.289
Assembly_Conveyor_1,2026-06-01 03:30:00,0.0262,0.1,0.339
Injection_Molder_2,2026-06-01 03:30:00,19.3847,77.54,0.892
Thermoformer_2,2026-06-01 03:30:00,0.0259,0.1,0.312
Packaging_Robot_2,2026-06-01 03:30:00,0.0292,0.12,0.257
Labeling_Machine_2,2026-06-01 03:30:00,0.0274,0.11,0.317
Palletizer_2,2026-06-01 03:30:00,0.0237,0.09,0.251
Solar_PV_System,2026-06-01 03:30:00,0.0,0.0,0.99
CNC_Mill_1,2026-06-01 03:45:00,0.0288,0.12,0.254
CNC_Lathe_1,2026-06-01 03:45:00,0.0271,0.11,0.394
Robotic_Welder_1,2026-06-01 03:45:00,1.5277,6.11,0.625
Pick_Place_1,2026-06-01 03:45:00,0.0264,0.11,0.244
Assembly_Conveyor_1,2026-06-01 03:45:00,0.0255,0.1,0.336
Injection_Molder_2,2026-06-01 03:45:00,17.2679,69.07,0.909
Thermoformer_2,2026-06-01 03:45:00,0.033,0.13,0.274
Packaging_Robot_2,2026-06-01 03:45:00,0.0253,0.1,0.355
Labeling_Machine_2,2026-06-01 03:45:00,0.0242,0.1,0.279
Palletizer_2,2026-06-01 03:45:00,0.0291,0.12,0.304
Solar_PV_System,2026-06-01 03:45:00,0.0,0.0,0.99
CNC_Mill_1,2026-06-01 04:00:00,0.0233,0.09,0.383
CNC_Lathe_1,2026-06-01 04:00:00,0.0238,0.1,0.286
Robotic_Welder_1,2026-06-01 04:00:00,1.7211,6.88,0.585
Pick_Place_1,2026-06-01 04:00:00,0.0237,0.09,0.245
Assembly_Conveyor_1,2026-06-01 04:00:00,0.0251,0.1,0.299
Injection_Molder_2,2026-06-01 04:00:00,23.5686,94.27,0.878
Thermoformer_2,2026-06-01 04:00:00,0.0191,0.08,0.31
Packaging_Robot_2,2026-06-01 04:00:00,0.0243,0.1,0.326
Labeling_Machine_2,2026-06-01 04:00:00,0.0232,0.09,0.297
Palletizer_2,2026-06-01 04:00:00,0.0246,0.1,0.301
Solar_PV_System,2026-06-01 04:00:00,0.0,0.0,0.99
CNC_Mill_1,2026-06-01 04:15:00,0.0255,0.1,0.293
CNC_Lathe_1,2026-06-01 04:15:00,0.0232,0.09,0.289
Robotic_Welder_1,2026-06-01 04:15:00,1.7793,7.12,0.563
Pick_Place_1,2026-06-01 04:15:00,0.0217,0.09,0.253
Assembly_Conveyor_1,2026-06-01 04:15:00,0.0188,0.08,0.259
Injection_Molder_2,2026-06-01 04:15:00,20.1682,80.67,0.872
Thermoformer_2,2026-06-01 04:15:00,0.0162,0.06,0.273
Packaging_Robot_2,2026-06-01 04:15:00,0.0233,0.09,0.367
Labeling_Machine_2,2026-06-01 04:15:00,0.0219,0.09,0.279
Palletizer_2,2026-06-01 04:15:00,0.0169,0.07,0.328
Solar_PV_System,2026-06-01 04:15:00,0.0,0.0,0.99
CNC_Mill_1,2026-06-01 04:30:00,0.0227,0.09,0.326
CNC_Lathe_1,2026-06-01 04:30:00,0.02,0.08,0.326
Robotic_Welder_1,2026-06-01 04:30:00,1.798,7.19,0.432
Pick_Place_1,2026-06-01 04:30:00,0.0178,0.07,0.329
Assembly_Conveyor_1,2026-06-01 04:30:00,0.0317,0.13,0.256
Injection_Molder_2,2026-06-01 04:30:00,22.6525,90.61,0.894
Thermoformer_2,2026-06-01 04:30:00,0.028,0.11,0.224
Packaging_Robot_2,2026-06-01 04:30:00,0.0166,0.07,0.349
Labeling_Machine_2,2026-06-01 04:30:00,0.0259,0.1,0.283
Palletizer_2,2026-06-01 04:30:00,0.0172,0.07,0.28
Solar_PV_System,2026-06-01 04:30:00,0.0,0.0,0.99
CNC_Mill_1,2026-06-01 04:45:00,0.0196,0.08,0.346
CNC_Lathe_1,2026-06-01 04:45:00,0.0184,0.07,0.289
Robotic_Welder_1,2026-06-01 04:45:00,1.8521,7.41,0.581
Pick_Place_1,2026-06-01 04:45:00,0.0227,0.09,0.332
Assembly_Conveyor_1,2026-06-01 04:45:00,0.0291,0.12,0.307
Injection_Molder_2,2026-06-01 04:45:00,20.867,83.47,0.898
Thermoformer_2,2026-06-01 04:45:00,0.018,0.07,0.325
Packaging_Robot_2,2026-06-01 04:45:00,0.0237,0.09,0.307
Labeling_Machine_2,2026-06-01 04:45:00,0.0217,0.09,0.352
Palletizer_2,2026-06-01 04:45:00,0.0183,0.07,0.329
Solar_PV_System,2026-06-01 04:45:00,0.0,0.0,0.99
CNC_Mill_1,2026-06-01 05:00:00,0.0311,0.12,0.266
CNC_Lathe_1,2026-06-01 05:00:00,0.0296,0.12,0.316
Robotic_Welder_1,2026-06-01 05:00:00,1.6409,6.56,0.59
Pick_Place_1,2026-06-01 05:00:00,0.02,0.08,0.247
Assembly_Conveyor_1,2026-06-01 05:00:00,0.0196,0.08,0.334
Injection_Molder_2,2026-06-01 05:00:00,3.7407,14.96,0.584
Thermoformer_2,2026-06-01 05:00:00,0.0258,0.1,0.325
Packaging_Robot_2,2026-06-01 05:00:00,0.0218,0.09,0.273
Labeling_Machine_2,2026-06-01 05:00:00,0.0218,0.09,0.359
Palletizer_2,2026-06-01 05:00:00,0.0208,0.08,0.324
Solar_PV_System,2026-06-01 05:00:00,0.0,0.0,0.99
CNC_Mill_1,2026-06-01 05:15:00,0.026,0.1,0.224
CNC_Lathe_1,2026-06-01 05:15:00,0.0219,0.09,0.281
Robotic_Welder_1,2026-06-01 05:15:00,1.8323,7.33,0.651
Pick_Place_1,2026-06-01 05:15:00,0.0181,0.07,0.263
Assembly_Conveyor_1,2026-06-01 05:15:00,0.0224,0.09,0.311
Injection_Molder_2,2026-06-01 05:15:00,23.488,93.95,0.889
Thermoformer_2,2026-06-01 05:15:00,0.0284,0.11,0.392
Packaging_Robot_2,2026-06-01 05:15:00,0.028,0.11,0.355
Labeling_Machine_2,2026-06-01 05:15:00,0.0303,0.12,0.358
Palletizer_2,2026-06-01 05:15:00,0.0242,0.1,0.307
Solar_PV_System,2026-06-01 05:15:00,0.0,0.0,0.99
CNC_Mill_1,2026-06-01 05:30:00,0.0268,0.11,0.28
CNC_Lathe_1,2026-06-01 05:30:00,0.026,0.1,0.302
Robotic_Welder_1,2026-06-01 05:30:00,1.8307,7.32,0.658
Pick_Place_1,2026-06-01 05:30:00,0.0262,0.1,0.379
Assembly_Conveyor_1,2026-06-01 05:30:00,0.028,0.11,0.309
Injection_Molder_2,2026-06-01 05:30:00,20.7631,83.05,0.879
Thermoformer_2,2026-06-01 05:30:00,0.031,0.12,0.224
Packaging_Robot_2,2026-06-01 05:30:00,0.0328,0.13,0.297
Labeling_Machine_2,2026-06-01 05:30:00,0.0178,0.07,0.19
Palletizer_2,2026-06-01 05:30:00,0.0199,0.08,0.335
Solar_PV_System,2026-06-01 05:30:00,0.0,0.0,0.99
CNC_Mill_1,2026-06-01 05:45:00,0.0186,0.07,0.344
CNC_Lathe_1,2026-06-01 05:45:00,0.0342,0.14,0.246
Robotic_Welder_1,2026-06-01 05:45:00,1.7443,6.98,0.562
Pick_Place_1,2026-06-01 05:45:00,0.0187,0.07,0.372
Assembly_Conveyor_1,2026-06-01 05:45:00,0.0267,0.11,0.323
Injection_Molder_2,2026-06-01 05:45:00,19.9551,79.82,0.927
Thermoformer_2,2026-06-01 05:45:00,0.0246,0.1,0.372
Packaging_Robot_2,2026-06-01 05:45:00,0.0248,0.1,0.228
Labeling_Machine_2,2026-06-01 05:45:00,0.0292,0.12,0.267
Palletizer_2,2026-06-01 05:45:00,0.0227,0.09,0.179
Solar_PV_System,2026-06-01 05:45:00,0.0,0.0,0.99
CNC_Mill_1,2026-06-01 06:00:00,2.0425,8.17,0.549
CNC_Lathe_1,2026-06-01 06:00:00,1.2248,4.9,0.55
Robotic_Welder_1,2026-06-01 06:00:00,0.7829,3.13,0.506
Pick_Place_1,2026-06-01 06:00:00,1.9828,7.93,0.86
Assembly_Conveyor_1,2026-06-01 06:00:00,2.6431,10.57,0.806
Injection_Molder_2,2026-06-01 06:00:00,3.8778,15.51,0.602
Thermoformer_2,2026-06-01 06:00:00,2.5247,10.1,0.57
Packaging_Robot_2,2026-06-01 06:00:00,3.5716,14.29,0.827
Labeling_Machine_2,2026-06-01 06:00:00,0.2428,0.97,0.698
Palletizer_2,2026-06-01 06:00:00,0.5188,2.08,0.552
Solar_PV_System,2026-06-01 06:00:00,0.9823,3.93,0.99
CNC_Mill_1,2026-06-01 06:15:00,9.7426,38.97,0.817
CNC_Lathe_1,2026-06-01 06:15:00,5.948,23.79,0.851
Robotic_Welder_1,2026-06-01 06:15:00,5.1122,20.45,0.801
Pick_Place_1,2026-06-01 06:15:00,2.2157,8.86,0.879
Assembly_Conveyor_1,2026-06-01 06:15:00,2.6631,10.65,0.768
Injection_Molder_2,2026-06-01 06:15:00,17.5771,70.31,0.908
Thermoformer_2,2026-06-01 06:15:00,11.3396,45.36,0.847
Packaging_Robot_2,2026-06-01 06:15:00,3.6903,14.76,0.833
Labeling_Machine_2,2026-06-01 06:15:00,1.2542,5.02,0.885
Palletizer_2,2026-06-01 06:15:00,2.6116,10.45,0.833
Solar_PV_System,2026-06-01 06:15:00,0.0,0.0,0.99
CNC_Mill_1,2026-06-01 06:30:00,10.477,41.91,0.852
CNC_Lathe_1,2026-06-01 06:30:00,5.9414,23.77,0.789
Robotic_Welder_1,2026-06-01 06:30:00,5.4251,21.7,0.773
Pick_Place_1,2026-06-01 06:30:00,2.4153,9.66,0.888
Assembly_Conveyor_1,2026-06-01 06:30:00,2.5597,10.24,0.795
Injection_Molder_2,2026-06-01 06:30:00,18.6802,74.72,0.915
Thermoformer_2,2026-06-01 06:30:00,11.9031,47.61,0.862
Packaging_Robot_2,2026-06-01 06:30:00,3.6213,14.49,0.86
Labeling_Machine_2,2026-06-01 06:30:00,1.1093,4.44,0.942
Palletizer_2,2026-06-01 06:30:00,2.684,10.74,0.798
Solar_PV_System,2026-06-01 06:30:00,0.0,0.0,0.99
CNC_Mill_1,2026-06-01 06:45:00,10.8701,43.48,0.86
CNC_Lathe_1,2026-06-01 06:45:00,7.7521,31.01,0.819
Robotic_Welder_1,2026-06-01 06:45:00,5.5528,22.21,0.804
Pick_Place_1,2026-06-01 06:45:00,2.3267,9.31,0.857
Assembly_Conveyor_1,2026-06-01 06:45:00,2.484,9.94,0.807
Injection_Molder_2,2026-06-01 06:45:00,21.7757,87.1,0.909
Thermoformer_2,2026-06-01 06:45:00,13.4274,53.71,0.835
Packaging_Robot_2,2026-06-01 06:45:00,3.3959,13.58,0.868
Labeling_Machine_2,2026-06-01 06:45:00,1.1055,4.42,0.92
Palletizer_2,2026-06-01 06:45:00,3.4784,13.91,0.793
Solar_PV_System,2026-06-01 06:45:00,0.2718,1.09,0.99
CNC_Mill_1,2026-06-01 07:00:00,8.6769,34.71,0.853
CNC_Lathe_1,2026-06-01 07:00:00,1.2073,4.83,0.425
Robotic_Welder_1,2026-06-01 07:00:00,0.6883,2.75,0.666
Pick_Place_1,2026-06-01 07:00:00,0.3858,1.54,0.588
Assembly_Conveyor_1,2026-06-01 07:00:00,2.4844,9.94,0.796
Injection_Molder_2,2026-06-01 07:00:00,3.5654,14.26,0.559
Thermoformer_2,2026-06-01 07:00:00,2.3037,9.21,0.52
Packaging_Robot_2,2026-06-01 07:00:00,0.62,2.48,0.555
Labeling_Machine_2,2026-06-01 07:00:00,0.254,1.02,0.62
Palletizer_2,2026-06-01 07:00:00,0.5016,2.01,0.556
Solar_PV_System,2026-06-01 07:00:00,8.907,35.63,0.99
CNC_Mill_1,2026-06-01 07:15:00,9.298,37.19,0.837
CNC_Lathe_1,2026-06-01 07:15:00,5.4726,21.89,0.806
Robotic_Welder_1,2026-06-01 07:15:00,4.8525,19.41,0.805
Pick_Place_1,2026-06-01 07:15:00,1.8329,7.33,0.923
Assembly_Conveyor_1,2026-06-01 07:15:00,2.6584,10.63,0.808
Injection_Molder_2,2026-06-01 07:15:00,18.8321,75.33,0.897
Thermoformer_2,2026-06-01 07:15:00,11.331,45.32,0.833
Packaging_Robot_2,2026-06-01 07:15:00,3.2187,12.87,0.873
Labeling_Machine_2,2026-06-01 07:15:00,1.189,4.76,0.953
Palletizer_2,2026-06-01 07:15:00,2.8255,11.3,0.79
Solar_PV_System,2026-06-01 07:15:00,9.7565,39.03,0.99
CNC_Mill_1,2026-06-01 07:30:00,9.23,36.92,0.855
CNC_Lathe_1,2026-06-01 07:30:00,6.771,27.08,0.78
Robotic_Welder_1,2026-06-01 07:30:00,4.3952,17.58,0.813
Pick_Place_1,2026-06-01 07:30:00,1.9888,7.96,0.891
Assembly_Conveyor_1,2026-06-01 07:30:00,2.2698,9.08,0.803
Injection_Molder_2,2026-06-01 07:30:00,17.0552,68.22,0.885
Thermoformer_2,2026-06-01 07:30:00,12.731,50.92,0.838
Packaging_Robot_2,2026-06-01 07:30:00,3.5496,14.2,0.886
Labeling_Machine_2,2026-06-01 07:30:00,1.0902,4.36,0.923
Palletizer_2,2026-06-01 07:30:00,3.287,13.15,0.794
Solar_PV_System,2026-06-01 07:30:00,9.7483,38.99,0.99
CNC_Mill_1,2026-06-01 07:45:00,8.8966,35.59,0.807
CNC_Lathe_1,2026-06-01 07:45:00,6.2462,24.98,0.837
Robotic_Welder_1,2026-06-01 07:45:00,5.4595,21.84,0.774
Pick_Place_1,2026-06-01 07:45:00,1.8664,7.47,0.9
Assembly_Conveyor_1,2026-06-01 07:45:00,2.6341,10.54,0.782
Injection_Molder_2,2026-06-01 07:45:00,20.7861,83.14,0.909
Thermoformer_2,2026-06-01 07:45:00,13.6682,54.67,0.871
Packaging_Robot_2,2026-06-01 07:45:00,3.1272,12.51,0.834
Labeling_Machine_2,2026-06-01 07:45:00,1.1314,4.53,0.931
Palletizer_2,2026-06-01 07:45:00,3.0193,12.08,0.77
Solar_PV_System,2026-06-01 07:45:00,10.3407,41.36,0.99
CNC_Mill_1,2026-06-01 08:00:00,2.06,8.24,0.502
CNC_Lathe_1,2026-06-01 08:00:00,1.2461,4.98,0.557
Robotic_Welder_1,2026-06-01 08:00:00,0.7387,2.95,0.551
Pick_Place_1,2026-06-01 08:00:00,0.3921,1.57,0.422
Assembly_Conveyor_1,2026-06-01 08:00:00,0.4944,1.98,0.61
Injection_Molder_2,2026-06-01 08:00:00,20.1791,80.72,0.888
Thermoformer_2,2026-06-01 08:00:00,12.22,48.88,0.84
Packaging_Robot_2,2026-06-01 08:00:00,0.6237,2.49,0.541
Labeling_Machine_2,2026-06-01 08:00:00,0.2298,0.92,0.564
Palletizer_2,2026-06-01 08:00:00,0.472,1.89,0.584
Solar_PV_System,2026-06-01 08:00:00,17.2379,68.95,0.99
CNC_Mill_1,2026-06-01 08:15:00,10.7421,42.97,0.856
CNC_Lathe_1,2026-06-01 08:15:00,6.27,25.08,0.805
Robotic_Welder_1,2026-06-01 08:15:00,6.0067,24.03,0.783
Pick_Place_1,2026-06-01 08:15:00,1.7306,6.92,0.861
Assembly_Conveyor_1,2026-06-01 08:15:00,2.2383,8.95,0.811
Injection_Molder_2,2026-06-01 08:15:00,20.6176,82.47,0.885
Thermoformer_2,2026-06-01 08:15:00,11.6128,46.45,0.855
Packaging_Robot_2,2026-06-01 08:15:00,3.6596,14.64,0.883
Labeling_Machine_2,2026-06-01 08:15:00,1.1314,4.53,0.925
Palletizer_2,2026-06-01 08:15:00,3.1615,12.65,0.831
Solar_PV_System,2026-06-01 08:15:00,17.9929,71.97,0.99
CNC_Mill_1,2026-06-01 08:30:00,8.0336,32.13,0.891
CNC_Lathe_1,2026-06-01 08:30:00,6.077,24.31,0.826
Robotic_Welder_1,2026-06-01 08:30:00,4.7085,18.83,0.777
Pick_Place_1,2026-06-01 08:30:00,2.3215,9.29,0.89
Assembly_Conveyor_1,2026-06-01 08:30:00,2.7934,11.17,0.804
Injection_Molder_2,2026-06-01 08:30:00,17.5287,70.11,0.889
Thermoformer_2,2026-06-01 08:30:00,12.0255,48.1,0.866
Packaging_Robot_2,2026-06-01 08:30:00,4.4106,17.64,0.851
Labeling_Machine_2,2026-06-01 08:30:00,1.1679,4.67,0.946
Palletizer_2,2026-06-01 08:30:00,2.6327,10.53,0.806
Solar_PV_System,2026-06-01 08:30:00,17.444,69.78,0.99
CNC_Mill_1,2026-06-01 08:45:00,11.6699,46.68,0.858
CNC_Lathe_1,2026-06-01 08:45:00,6.9979,27.99,0.808
